"d_r_uuid";"dws";"dns";"so";"version";"license_id"
"10d8b4c5-6e6a-496a-9f13-d05a9dad61b8";"c6bc4c55a8daedc0f262a01189ce4440";"77678e32e3e84a2734cb8b9a0ef82ce4";"7ea4323e66641fb49b3805d6f38d85ac";"release/helium-sr3";-1
"54491e47-0c03-47a1-b91f-f202b84e8fec";"c8b6e7cb05c8837727de7eefe1afeef2";"f9ef0b9e6b257938a960af8ff22ae188";"d41d8cd98f00b204e9800998ecf8427e";"2.6.0-fuse-01-15";45
"6a12dcc7-de7e-4173-9f23-8595261cbb37";"c985db22f3db4df820f6a18348fd6d18";"8f36ec23ad7bbb6e1c6301995d9b0898";"dfc2da000de088693ce47d590cdc7d4d";"8.7";11
"54491e47-0c03-47a1-b91f-f202b84e8fec";"cb23cfa3867f55879c2e1724d6e316d2";"6fc4e0c72e5ae738283a4f7571e81b57";"d0616513fe4e03359bfe37924d0d3e3a";"2.6.0-fuse-01-15";45
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"cc3380622ff92a464f856444c5411d03";"849c8a4c173e80f3ddc071d20b987cd1";"d985eca4fa2662dbdb17df282a5837ae";"2.15.2";45
"6b0028a6-9543-4b05-89e3-6c52143287a8";"d0188acdad5e7eaad688a18f43f1b2f4";"be0dcb18bb8174dd4f64472ec5c7327b";"db4c0ab5b8bec6d1951006bd102a1070";"upstream/upstream/isis-security-shiro-1.0.0-RC1";45
"db9d602b-acf9-4bba-b6f8-3583a7f218fa";"d07e77cd17b768d726d6a97c7ee5993c";"e58444a00a12f10e635272051313b8a1";"7baa35152d9ca1dd7bbe54d78dabcda5";"REL_2.11-20151226230036+0000";45
"8af515ed-25f9-47ea-922b-3b95bfc3aff5";"d1cc3200f6071707cfa3ef84a354b9b7";"465599f4922395439d57c04d617445a5";"d41d8cd98f00b204e9800998ecf8427e";"UDK2010.SR1.UP1";3
"bdbfc949-a72e-4bc7-b5d7-2ab36c1478d8";"d25f962e274f9457c3d32d07cc93197a";"c75143bf0400635365c584a3b80cc34e";"8cfdddab2745646e8e014013cd5457ae";"1.2.0";45
"ad797d29-921c-45c4-831c-e315a939990a";"d37ef6c483d740286a444d3599f128dd";"687761c80b1f9b1db04928a54ff00753";"d391c5fbfc803a3c7c64b4b4745360ac";"2.7.3-fuse-00-61";45
"3dec9166-bd9d-45d3-acae-9c78adb1a684";"d4b0eed5571de794a581a3941846f860";"5ae30159da964107e8ac1d319167577b";"69432f2bc15099916d0d65e6dbf7d3dd";"2.15.2";45
"d41f247f-3eb3-438f-94a5-8a8685b4d60f";"d5f2c6a9a1e5ede254c0d045c7fa540d";"4881489c405af83fa756e6010f01b2ba";"d41d8cd98f00b204e9800998ecf8427e";"3.13.2";35
"fe523cf5-6b92-422e-ab16-0a344e0426b6";"d934d29d88a80c1a061ed19175beb2e7";"daec88b6cf105ebdf2242085721b10f3";"d41d8cd98f00b204e9800998ecf8427e";"3.16.7-ckt11";-1
"3186e8de-1fa1-4bc4-8f76-3fcdebbcea1d";"e470dfd98404fb0757be5f9adc1f140c";"b6ba7dc086b4f24de5abddcc62461369";"d41d8cd98f00b204e9800998ecf8427e";"0.2.0";45
